node_1|node_2|edge|chunk_id
ordentliche kündigung|bindende unternehmerentscheidung|Eine ordentliche Kündigung wegen einer bindenden Unternehmerentscheidung kann betriebsbedingt sein, und die einzelfallbezogene Interessenabwägung kann sich nur in seltenen Ausnahmefällen zugunsten des Arbeitnehmers auswirken.|4e3fb1255fc04288b7f5055f93103d53
betriebsrat|aus betrieblichen gründen erklärten ordentlichen kündigung|Der Betriebsrat kann einer aus betrieblichen Gründen erklärten ordentlichen Kündigung widersprechen, was einen absoluten Grund für die Sozialwidrigkeit darstellt.|4e3fb1255fc04288b7f5055f93103d53
verstoß gegen personelle auswahlrichtlinien|sozialwidrigkeit|Ein Verstoß gegen personelle Auswahlrichtlinien kann zur absoluten Sozialwidrigkeit einer aus betrieblichen Gründen erklärten Kündigung führen, wenn der Betriebsrat aus diesem Grund widersprochen hat, vorausgesetzt, dass die Auswahlrichtlinien den gesetzlichen Grundsätzen über die soziale Auswahl entsprechen.|4e3fb1255fc04288b7f5055f93103d53
betriebsbedingte kündigung|darlegungs- und beweislast|Bei einer betriebsbedingten Kündigung besteht eine abgestufte Verteilung der Darlegungs- und Beweislast zwischen Arbeitgeber und Arbeitnehmer.|4e3fb1255fc04288b7f5055f93103d53
arbeitgeber|kündigungstatsachen|Der Arbeitgeber hat die Kündigungstatsachen zu beweisen.|4e3fb1255fc04288b7f5055f93103d53
umsatzrückgang|gewinnverfall|Der Arbeitgeber muss im Einzelnen vortragen, wie sich die betreffenden außer- oder innerbetrieblichen Umstände auf die betreffenden Arbeitsplätze auswirken, wie z.B. Umsatzrückgang oder Gewinnverfall.|4e3fb1255fc04288b7f5055f93103d53
kurzarbeit|abbau von überstunden|Der Arbeitgeber muss die Dringlichkeit der Kündigungen darlegen, z.B. dass andere Maßnahmen wie Kurzarbeit oder Abbau von Überstunden nicht möglich oder nicht zumutbar gewesen sind.|4e3fb1255fc04288b7f5055f93103d53
betriebsrat|widerspruch|Ein Widerspruch des Betriebsrats gegen die Kündigung kann zur absoluten Sozialwidrigkeit führen.|4e3fb1255fc04288b7f5055f93103d53
arbeitnehmer|einführung von kurzarbeit|Der Arbeitnehmer muss z.B. darlegen, dass die Einführung von Kurzarbeit möglich gewesen wäre.|4e3fb1255fc04288b7f5055f93103d53
arbeitnehmer|anderweitige beschäftigung im betrieb|Der Arbeitnehmer kann darlegen, wie er sich seine Weiterbeschäftigung vorstellt, und bei Bestreiten seitens des Arbeitgebers muss dieser im Einzelnen dartun, dass eine Weiterarbeit auf anderen freien Arbeitsplätzen nicht möglich gewesen ist.|4e3fb1255fc04288b7f5055f93103d53
arbeitnehmer|sachvortrag|Dem Arbeitnehmer bleibt auch der Sachvortrag offen, dass sich die Sachlage nach Abschluss des Interessenausgleichs wesentlich geändert hat, wofür er die Darlegungs- und Beweislast trägt.|4e3fb1255fc04288b7f5055f93103d53
insolvenz|interessenausgleich|In caso of Insolvenz, wenn in einem Interessenausgleich zwischen Insolvenzverwalter und Betriebsrat zu kündigende Arbeitnehmer namentlich aufgeführt sind, gilt eine Sonderregelung.|4e3fb1255fc04288b7f5055f93103d53
personenbedingte kündigung|voraussetzung|Der Beitrag stellt die allgemeinen Voraussetzungen der personenbedingten Kündigung nach § 1 Abs. 2 KSchG dar.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|kschg|Gesetzliche Grundlage für die personenbedingte Kündigung ist § 1 Abs. 2 KSchG.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|kündigungsgrund|Der personenbedingte Kündigungsgrund ist rein objektiv: Ein Verschulden ist nicht Voraussetzung.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|krankheit|Der weitaus häufigste Fall der personenbedingten Kündigung ist die Krankheit.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|außerordentliche kündigung|Ist eine ordentliche Kündigung durch Tarifvertrag ausgeschlossen, kann der Ausspruch einer außerordentlichen Kündigung in Betracht kommen.|d2b32ed01cda4a6fa93e6f13653c7442
außerordentliche kündigung|kschg|Auch wegen Krankheit ist in diesen Fällen eine außerordentliche Kündigung grundsätzlich anerkannt.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|sozialwidrigkeit|Das KSchG verlangt vom Arbeitgeber die Rechtfertigung der Kündigungsgründe. Es nennt u. a. in § 1 Abs. 2 KSchG die personenbedingte Kündigung. Zudem kommen nach § 1 Abs. 2 Sätze 2 und 3 KSchG noch die absoluten Gründe der Sozialwidrigkeit in Betracht.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|arbeitnehmer|Die Darlegungs- und Beweislast für die Tatsachen, die die personenbedingte Kündigung rechtfertigen, trägt nach § 1 Abs. 2 Satz 4 KSchG der Arbeitgeber.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|gründe in der person des arbeitnehmers|Folgende nicht abschließend aufgeführte Gründe können für eine personenbedingte Kündigung in Betracht kommen: Aids/HIV, Alkoholsucht, Alter, Arbeitserlaubnis, Arbeitsunfall, Berufskrankheit, Drogensucht, Druckkündigung, Eheschließung, Ehescheidung, Ehrenamt/politische Betätigung, Fehlende oder mangelhafte Eignung, Freiheitsstrafe, Führerscheinentzug, Krankheit, Untersuchungshaft|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|negative prognose|Die Prognose ist dann negativ, wenn ein objektiver, die Fakten kennender Betrachter (damit wirken sich Informationslücken des Arbeitgebers nicht zulasten des Arbeitnehmers aus) im Zeitpunkt des Zugangs der Kündigung davon ausgehen musste, dass mit einer baldigen (Wieder-)Herstellung der Fähigkeit und Eignung zur ordnungsgemäßen Verrichtung der geschuldeten Tätigkeit nicht gerechnet werden kann.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|beeinträchtigung betrieblicher interessen|Die Gründe in der Person müssen konkrete Auswirkungen auf den Betrieb haben. Es müssen bereits konkrete und erhebliche Störungen eingetreten sein, die im Zeitpunkt der Kündigung noch andauern und wegen des Prognoseprinzips auch künftig zu erwarten sind.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|versetzung und änderungskündigung|Die Kündigung ist letztes Mittel (ultima ratio). Deshalb muss zuerst eine Weiterbeschäftigung an einem freien Arbeitsplatz im Betrieb oder in einem anderen Betrieb des Unternehmens, ggf. auch nach zumutbarer Umschulung oder Fortbildung geprüft werden.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|umschulung und fortbildungsmaßnahmen|Der Arbeitgeber muss nur dann umschulen oder fortbilden, wenn im Zeitpunkt des Zugangs der Kündigung feststeht oder mit hinreichender Sicherheit voraussehbar ist, dass nach Abschluss der Maßnahme ein geeigneter freier Arbeitsplatz im Betrieb oder in einem anderen Betrieb des Unternehmens vorhanden ist.|d2b32ed01cda4a6fa93e6f13653c7442
personenbedingte kündigung|interessenabwägung|Bei der personenbedingten Kündigung sind nach herrschender Meinung strenge Maßstäbe anzulegen. Schließlich ist dem Arbeitnehmer in der Regel kein Verschulden vorzuwerfen, das sich zu seinen Ungunsten auswirken würde.|d2b32ed01cda4a6fa93e6f13653c7442
wertentscheidungen|arbeitsunfall|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|krankheit|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|altersbedingter leistungsabfall|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
arbeitsunfall|betriebsunfall|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
betriebsunfall|folge der jahrelangen tätigkeit in diesem betrieb|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
betriebsunfall|gesundheitsschädliche arbeit|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
betriebsunfall|längere betriebszugehörigkeit|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
betriebsunfall|fortgeschrittenes lebensalter|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
arbeitsunfall|personenbedingte kündigung|Relevante Themen im Zusammenhang mit dem Arbeitsunfall|8f4b5e98be5e4e438eed5aa735cca022
krankheit|personenbedingte kündigung|Relevante Themen im Zusammenhang mit der Krankheit|8f4b5e98be5e4e438eed5aa735cca022
altersbedingter leistungsabfall|personenbedingte kündigung|Relevante Themen im Zusammenhang mit altersbedingtem Leistungsabfall|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|voraussetzungen|Erforderliche Bedingungen für personenbedingte Kündigung|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|unterhaltsverpflichtungen|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|hausbau|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|arbeitsverhältnis|Zu Gunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|herbeiführung des leistungs- oder eignungsmangels|Zuungunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
herbeiführung des leistungs- oder eignungsmangels|grob fahrlässige unfallverursachung|Zuungunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
herbeiführung des leistungs- oder eignungsmangels|entzug der fahrerlaubnis|Zuungunsten des Arbeitnehmers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|wirtschaftliche auswirkungen|Zu Gunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|belastbarkeit des betriebs|Zu Gunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wirtschaftliche auswirkungen|vergebliche versuche, die ausfälle zu kompensieren|Zu Gunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
belastbarkeit des betriebs|vergebliche versuche, die ausfälle zu kompensieren|Zu Gunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|verschulden des arbeitgebers|Zuungunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
wertentscheidungen|möglichkeit, den ausfall durch springer oder sonstige maßnahmen zu überbrücken|Zuungunsten des Arbeitgebers zu berücksichtigende Gründe|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|betriebsbedingte kündigung|Abgrenzung zu anderen Kündigungsgründen|8f4b5e98be5e4e438eed5aa735cca022
personenbedingte kündigung|verhaltensbedingte kündigung|Abgrenzung zu anderen Kündigungsgründen|8f4b5e98be5e4e438eed5aa735cca022
betriebsbedingte kündigung|arbeitsplatz|Unterschied zur personen- und verhaltensbedingten Kündigung|8f4b5e98be5e4e438eed5aa735cca022
verhaltensbedingte kündigung|vertragswidriges verhalten|Unterschied zur personenbedingten Kündigung|8f4b5e98be5e4e438eed5aa735cca022
verhaltensbedingte kündigung|kschg|Die ordentliche verhaltensbedingte Kündigung ist gemäß § 1 Abs. 2 KSchG geregelt.|94e1243fe98f492f828b821113f96e90
alkohol|alkoholismus|Die Abgrenzung zwischen verhaltensbedingtem Alkoholgenuss und krankhaftem Alkoholismus ist entscheidend bei der Beurteilung einer möglichen Alkoholerkrankung.|94e1243fe98f492f828b821113f96e90
alkohol|arzt|Ein ärztliches Attest ist ein sicherer Weg, um Klarheit über eine mögliche Alkoholerkrankung zu erhalten.|94e1243fe98f492f828b821113f96e90
betriebsrat|alkoholkonsum|Der Betriebsrat muss zur Kündigung wegen Alkoholkonsum gehört werden, wenn nicht schon wegen nicht ordnungsgemäßer Betriebsratsanhörung die Kündigung scheitern soll.|94e1243fe98f492f828b821113f96e90
alkoholkonsum|arbeitszeit|Der Alkoholgenuss während der Arbeitszeit kann eine Form der Arbeitsverweigerung sein.|94e1243fe98f492f828b821113f96e90
arbeitszeitbetrug|arbeitsvertrag|Macht ein Arbeitnehmer vorsätzlich falsche Angaben zur Arbeitszeit, liegt ein wichtiger Grund für eine außerordentliche Kündigung vor.|94e1243fe98f492f828b821113f96e90
arbeitsverweigerung|abmahnung|Die Weigerung des Arbeitnehmers, die vertraglich geschuldete Leistung zu erbringen, ist nach vorangegangener Abmahnung geeignet, eine verhaltensbedingte Kündigung zu begründen.|94e1243fe98f492f828b821113f96e90
arbeitsverweigerung|arbeitszeit|Die übermäßige private Nutzung des Internets während der Arbeitszeit kann eine Form der Arbeitsverweigerung sein.|94e1243fe98f492f828b821113f96e90
verhaltensbedingter kündigungsgrund|leiterin eines katholischen kindergartens|Beispiel eines verhaltensbedingten Kündigungsgrundes: Heirat eines geschiedenen Mannes|33a67a01d19f4c7cbda96ebb479fafa6
verhaltensbedingter kündigungsgrund|ehebruch|Ehebruch als Beispiel eines verhaltensbedingten Kündigungsgrundes|33a67a01d19f4c7cbda96ebb479fafa6
verhaltensbedingter kündigungsgrund|werbung für eine andere glaubensgemeinschaft|Werbung für eine andere Glaubensgemeinschaft als Beispiel eines verhaltensbedingten Kündigungsgrundes|33a67a01d19f4c7cbda96ebb479fafa6
bag|rechtsprechung des eugh|Teilweise Gegensätzlichkeit zwischen der Rechtsprechung des BAG und des EuGH|33a67a01d19f4c7cbda96ebb479fafa6
chefarzt eines katholischen krankenhauses|wiederverheiratung nach ehescheidung|Frage der Kündigung des Arbeitsverhältnisses aufgrund von Wiederverheiratung nach Ehescheidung und die unterschiedliche Auffassung des BAG und des EuGH|33a67a01d19f4c7cbda96ebb479fafa6
beleidigungen|grundsätzlich zur ordentlichen kündigung|Beleidigungen gegenüber dem Arbeitgeber oder Vorgesetzten führen grundsätzlich zur ordentlichen Kündigung|33a67a01d19f4c7cbda96ebb479fafa6
grobe beleidigungen|außerordentliche (fristlose) kündigung|Grobe Beleidigungen können auch eine außerordentliche (fristlose) Kündigung rechtfertigen|33a67a01d19f4c7cbda96ebb479fafa6
ehrverletzende äußerungen|abhängig von den umständen des einzelfalls|Ehrverletzende Äußerungen können je nach den Umständen des Einzelfalls als weniger schwerwiegend angesehen werden|33a67a01d19f4c7cbda96ebb479fafa6
beleidigung|meinungsfreiheit|Abgrenzung der Beleidigung von der Meinungsfreiheit|33a67a01d19f4c7cbda96ebb479fafa6
drohung gegenüber dem arbeitgeber|verhaltensbedingte kündigung|Drohung gegenüber dem Arbeitgeber als möglicher verhaltensbedingter Kündigungsgrund|33a67a01d19f4c7cbda96ebb479fafa6
betriebsfrieden|ordentliche kündigung|Störung des Betriebsfriedens kann eine ordentliche Kündigung rechtfertigen|33a67a01d19f4c7cbda96ebb479fafa6
betriebsfrieden|außerordentliche kündigung|Nachhaltige Störung des Betriebsfriedens kann in Ausnahmefällen auch eine außerordentliche Kündigung rechtfertigen|33a67a01d19f4c7cbda96ebb479fafa6
bag|internet- und e-mail-nutzung|Rechtsprechung des BAG bezüglich der Internet- und E-Mail-Nutzung zu privaten Zwecken|33a67a01d19f4c7cbda96ebb479fafa6
internet- und e-mail-nutzung|verhaltensbedingte kündigung|Verstöße gegen Regeln zur Internet- und E-Mail-Nutzung können verhaltensbedingte Kündigungsgründe darstellen|33a67a01d19f4c7cbda96ebb479fafa6
konkurrenztätigkeit|ordentliche oder außerordentliche kündigung|Verbotene Konkurrenztätigkeit als Grund für ordentliche oder außerordentliche Kündigung|33a67a01d19f4c7cbda96ebb479fafa6
leistungsmängel|ordentliche kündigung|Leistungsmängel als Grund für ordentliche Kündigung nach erfolgter Abmahnung|33a67a01d19f4c7cbda96ebb479fafa6
leistungsmängel|qualitativ und quantitativ|Leistungsmängel in qualitativer und quantitativer Hinsicht|33a67a01d19f4c7cbda96ebb479fafa6
lohnpfändungen|ausnahmefälle|Lohnpfändungen als Ausnahmefälle für eine mögliche Kündigung des Arbeitsverhältnisses|33a67a01d19f4c7cbda96ebb479fafa6
lohnpfändungen|arbeitsvertraglichen pflichten|Lohnpfändungen sind nicht die Verletzung von arbeitsvertraglichen Pflichten|10f52cf99a2444cdafa525c4673284bb
lohnpfändungen|privatsphäre des arbeitnehmers|Lohnpfändungen können aus der Privatsphäre des Arbeitnehmers herrühren|10f52cf99a2444cdafa525c4673284bb
lohnpfändungen|arbeitsaufwand|Arbeitsvertrag eine Kostenerstattungsregelung aufzunehmen, um den mit der Lohnpfändung verbundenen Arbeitsaufwand vom Arbeitnehmer erstattet zu erhalten|10f52cf99a2444cdafa525c4673284bb
abmahnung|kündigung|nach der Rechtsprechung des BAG kann eine Abmahnung vor der Kündigung nicht erwartet werden|10f52cf99a2444cdafa525c4673284bb
änderungskündigung|beendigungskündigung|vor einer Beendigungskündigung wird eine Änderungskündigung ausgesprochen|10f52cf99a2444cdafa525c4673284bb
arbeitsvertrag|klausel|Klausel dazu, dem Arbeitgeber im Vorfeld die Überprüfung zu ermöglichen, ob seine berechtigten Interessen beeinträchtigt sind|10f52cf99a2444cdafa525c4673284bb
arbeitnehmer|nebentätigkeit|Arbeitnehmer ist grundsätzlich berechtigt, Nebentätigkeit auszuüben|10f52cf99a2444cdafa525c4673284bb
nebentätigkeit|arbeitszeitgesetz|Arbeitnehmer muss bei der Nebenbeschäftigung die gesetzlichen Grenzen des Arbeitszeitgesetzes beachten|10f52cf99a2444cdafa525c4673284bb
nebentätigkeit|genehmigung|Arbeitnehmer kann eine Nebentätigkeit nur mit Zustimmung des Arbeitgebers aufnehmen|10f52cf99a2444cdafa525c4673284bb
arbeitszeitgesetz|freiheitsrechte|mögliche Beschränkung der Freiheitsrechte aus Art. 12 Abs. 1 GG hält sich in Grenzen|10f52cf99a2444cdafa525c4673284bb
konkurrenztätigkeit|zustimmungsverweigerung|der Arbeitgeber darf die Zustimmung zur Nebentätigkeit verweigern, z. B. bei Konkurrenztätigkeit|10f52cf99a2444cdafa525c4673284bb
arbeitsvertrag|nebentätigkeiten|ein Formulararbeitsvertrag, die dem Arbeitnehmer generell die Ausübung von Nebentätigkeiten verbietet, ist zu weitgehend und benachteiligt den Arbeitnehmer entgegen Treu und Glauben unangemessen|10f52cf99a2444cdafa525c4673284bb
erkrankungen|arbeitnehmer|Arbeitnehmer nach § 5 EFZG verpflichtet, dem Arbeitgeber die Arbeitsunfähigkeit und deren voraussichtliche Dauer unverzüglich mitzuteilen|10f52cf99a2444cdafa525c4673284bb
ärztliche bescheinigung|nachweispflicht|Arbeitnehmer muss eine ärztliche Bescheinigung über das Bestehen der Arbeitsunfähigkeit sowie deren voraussichtliche Dauer vorlegen|10f52cf99a2444cdafa525c4673284bb
arbeitsunfähigkeit|verhalten|Arbeitnehmer hat die Verpflichtung zu gesundheits- und heilungsförderndem Verhalten aufgrund der ihm obliegenden Treuepflicht aus dem Arbeitsverhältnis|10f52cf99a2444cdafa525c4673284bb
arbeitsunfähigkeit|arbeitsaufnahme|Nach Wiederherstellung der Arbeitsfähigkeit muss sich der Arbeitnehmer wieder am Arbeitsplatz einfinden bzw. zur Arbeitsaufnahme zurückmelden|10f52cf99a2444cdafa525c4673284bb
vortäuschung einer arbeitsunfähigkeit|vertrauensbruch|Ein Arbeitnehmer, der eine Arbeitsunfähigkeit lediglich vortäuscht, verstößt gegen die Arbeitspflicht und verletzt das in ihn gesetzte Vertrauen|10f52cf99a2444cdafa525c4673284bb
betriebsrat|kündigung|Kündigt ein Arbeitnehmer nach Ablehnung seines Urlaubsantrags an, fortan krankheitsbedingt zu fehlen, ist dies ein Grund für eine (fristlose) Kündigung. Es liegt ein Vertrauensbruch vor, wenn der Arbeitnehmer ausdrücklich oder konkludent erklärt, dass er eine begehrte Freistellung durch eine nicht vorhandene Arbeitsunfähigkeit erzwingen will|10f52cf99a2444cdafa525c4673284bb
außerordentlichen kündigung|verhaltensbedingte kündigung|Eine außerordentliche Kündigung kann ohne weiteres zu einer verhaltensbedingten Kündigung führen.|509000cfdce640dcad4cdb2de65865a3
corona-pandemie|pflichtverletzungen|Die Verhaltensregeln aufgrund der Corona-Pandemie können zu Pflichtverletzungen durch Arbeitnehmer führen.|509000cfdce640dcad4cdb2de65865a3
